2012 ALWC,1-0,"Baltimore Orioles* (93-69, AL) vs. Texas Rangers* (93-69, AL)"
2012 NLWC,1-0,"St. Louis Cardinals* (88-74, NL) vs. Atlanta Braves* (94-68, NL)"
2011 World Series,4-3,"St. Louis Cardinals* (90-72, NL) vs. Texas Rangers (96-66, AL)"
2011 ALCS,4-2,"Texas Rangers (96-66, AL) vs. Detroit Tigers (95-67, AL)"
2011 NLCS,4-2,"St. Louis Cardinals* (90-72, NL) vs. Milwaukee Brewers (96-66, NL)"
2011 ALDS1,3-2,"Detroit Tigers (95-67, AL) vs. New York Yankees (97-65, AL)"
2011 ALDS2,3-1,"Texas Rangers (96-66, AL) vs. Tampa Bay Rays* (91-71, AL)"
2011 NLDS1,3-2,"St. Louis Cardinals* (90-72, NL) vs. Philadelphia Phillies (102-60, NL)"
2011 NLDS2,3-2,"Milwaukee Brewers (96-66, NL) vs. Arizona Diamondbacks (94-68, NL)"
2010 World Series,4-1,"San Francisco Giants (92-70, NL) vs. Texas Rangers (90-72, AL)"
2010 ALCS,4-2,"Texas Rangers (90-72, AL) vs. New York Yankees* (95-67, AL)"
2010 NLCS,4-2,"San Francisco Giants (92-70, NL) vs. Philadelphia Phillies (97-65, NL)"
2010 ALDS1,3-2,"Texas Rangers (90-72, AL) vs. Tampa Bay Rays (96-66, AL)"
2010 ALDS2,3-0,"New York Yankees* (95-67, AL) vs. Minnesota Twins (94-68, AL)"
2010 NLDS1,3-0,"Philadelphia Phillies (97-65, NL) vs. Cincinnati Reds (91-71, NL)"
2010 NLDS2,3-1,"San Francisco Giants (92-70, NL) vs. Atlanta Braves* (91-71, NL)"
